PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Pascal Siakam,TOR,04/03/2019,TOR @ BKN,W,36,28,11,21,52.4,3,7,42.9,3,4,75,5,5,10,5,0,0,1,2,21
Pascal Siakam,TOR,04/01/2019,TOR vs. ORL,W,28,6,2,9,22.2,1,3,33.3,1,2,50,1,2,3,4,0,0,2,2,3
Pascal Siakam,TOR,03/28/2019,TOR @ NYK,W,31,31,11,19,57.9,2,6,33.3,7,8,87.5,2,3,5,5,1,1,0,4,31
Pascal Siakam,TOR,03/26/2019,TOR vs. CHI,W,21,13,6,10,60,0,0,-,1,1,100,1,4,5,2,0,0,2,1,2
Pascal Siakam,TOR,03/24/2019,TOR vs. CHA,L,36,23,9,14,64.3,1,1,100,4,4,100,0,7,7,5,1,1,5,3,8
Pascal Siakam,TOR,03/22/2019,TOR vs. OKC,L,36,25,9,14,64.3,2,3,66.7,5,5,100,2,3,5,2,2,1,7,5,-4
Pascal Siakam,TOR,03/20/2019,TOR @ OKC,W,43,33,14,21,66.7,1,4,25,4,4,100,2,11,13,6,2,1,5,5,9
Pascal Siakam,TOR,03/18/2019,TOR vs. NYK,W,30,19,9,14,64.3,1,3,33.3,0,2,0,2,6,8,5,0,1,1,3,37
Pascal Siakam,TOR,03/17/2019,TOR @ DET,L,32,12,6,13,46.2,0,2,0,0,0,-,0,3,3,3,1,0,1,6,-7
Pascal Siakam,TOR,03/14/2019,TOR vs. LAL,W,39,16,3,16,18.8,0,4,0,10,12,83.3,3,2,5,6,2,2,3,0,14
Pascal Siakam,TOR,03/11/2019,TOR @ CLE,L,29,15,6,13,46.2,0,4,0,3,3,100,1,3,4,3,1,0,2,5,-15
Pascal Siakam,TOR,03/10/2019,TOR @ MIA,W,29,20,8,12,66.7,1,2,50,3,5,60,1,4,5,5,1,1,1,2,12
Pascal Siakam,TOR,03/08/2019,TOR @ NOP,W,29,19,7,15,46.7,1,4,25,4,4,100,1,4,5,4,1,2,2,1,10
Pascal Siakam,TOR,03/05/2019,TOR vs. HOU,L,38,17,7,12,58.3,2,4,50,1,4,25,4,6,10,3,0,0,2,1,11
Pascal Siakam,TOR,03/03/2019,TOR @ DET,L,44,21,10,20,50,1,4,25,0,2,0,1,8,9,5,0,0,3,5,2
Pascal Siakam,TOR,03/01/2019,TOR vs. POR,W,35,16,4,8,50,2,4,50,6,8,75,0,4,4,4,0,0,3,4,19
Pascal Siakam,TOR,02/26/2019,TOR vs. BOS,W,30,25,10,16,62.5,4,5,80,1,1,100,1,7,8,2,2,1,0,1,22
Pascal Siakam,TOR,02/24/2019,TOR vs. ORL,L,37,10,3,10,30,2,4,50,2,2,100,0,11,11,3,0,2,0,1,-5
Pascal Siakam,TOR,02/22/2019,TOR vs. SAS,W,33,22,7,10,70,2,2,100,6,9,66.7,1,2,3,6,2,0,2,4,-8
Pascal Siakam,TOR,02/13/2019,TOR vs. WAS,W,33,44,15,25,60,4,5,80,10,12,83.3,3,7,10,2,0,3,4,5,24
Pascal Siakam,TOR,02/11/2019,TOR vs. BKN,W,35,17,6,13,46.2,0,1,0,5,6,83.3,0,4,4,4,2,0,3,2,-1
Pascal Siakam,TOR,02/09/2019,TOR @ NYK,W,33,10,3,13,23.1,0,3,0,4,5,80,2,6,8,2,1,0,0,2,13
Pascal Siakam,TOR,02/07/2019,TOR @ ATL,W,40,33,12,20,60,2,5,40,7,9,77.8,4,10,14,4,2,1,2,3,23
Pascal Siakam,TOR,02/05/2019,TOR @ PHI,W,30,16,7,15,46.7,2,6,33.3,0,3,0,2,4,6,2,1,0,2,2,8
Pascal Siakam,TOR,02/03/2019,TOR vs. LAC,W,22,15,4,10,40,1,4,25,6,7,85.7,1,3,4,0,0,1,1,2,13
Pascal Siakam,TOR,01/31/2019,TOR vs. MIL,L,38,28,12,19,63.2,2,3,66.7,2,3,66.7,1,2,3,3,1,0,3,4,-15
Pascal Siakam,TOR,01/27/2019,TOR @ DAL,W,37,14,4,11,36.4,1,3,33.3,5,5,100,1,4,5,2,1,0,1,4,9
Pascal Siakam,TOR,01/25/2019,TOR @ HOU,L,34,22,9,15,60,2,2,100,2,2,100,4,8,12,3,0,0,2,3,6
Pascal Siakam,TOR,01/23/2019,TOR @ IND,L,37,16,5,16,31.3,1,4,25,5,5,100,3,6,9,4,0,0,0,4,-12
Pascal Siakam,TOR,01/22/2019,TOR vs. SAC,W,31,18,8,14,57.1,1,4,25,1,1,100,1,3,4,1,1,1,2,3,11
Pascal Siakam,TOR,01/19/2019,TOR vs. MEM,W,29,17,7,12,58.3,0,1,0,3,4,75,2,6,8,2,1,0,0,2,40
Pascal Siakam,TOR,01/17/2019,TOR vs. PHX,W,33,10,4,8,50,0,3,0,2,2,100,2,10,12,5,1,2,1,1,-3
Pascal Siakam,TOR,01/16/2019,TOR @ BOS,L,36,6,3,6,50,0,0,-,0,0,-,1,3,4,7,1,0,3,4,1
Pascal Siakam,TOR,01/13/2019,TOR @ WAS,W,44,24,9,16,56.3,0,2,0,6,6,100,5,14,19,2,3,2,5,6,-5
Pascal Siakam,TOR,01/11/2019,TOR vs. BKN,W,26,16,6,13,46.2,0,2,0,4,7,57.1,2,4,6,2,1,0,1,3,20
Pascal Siakam,TOR,01/08/2019,TOR vs. ATL,W,35,13,6,13,46.2,0,3,0,1,4,25,1,9,10,3,1,1,4,5,5
Pascal Siakam,TOR,01/06/2019,TOR vs. IND,W,26,12,4,8,50,0,1,0,4,4,100,2,8,10,4,0,0,3,1,5
Pascal Siakam,TOR,01/05/2019,TOR @ MIL,W,39,30,11,15,73.3,3,5,60,5,7,71.4,2,2,4,3,0,2,0,4,16
Pascal Siakam,TOR,01/03/2019,TOR @ SAS,L,27,10,4,8,50,0,2,0,2,2,100,0,6,6,7,1,1,4,4,-18
Pascal Siakam,TOR,01/01/2019,TOR vs. UTA,W,32,28,9,15,60,3,4,75,7,7,100,1,9,10,1,0,0,1,3,12
Pascal Siakam,TOR,12/30/2018,TOR vs. CHI,W,34,20,7,12,58.3,1,1,100,5,6,83.3,6,6,12,4,0,0,3,3,2
Pascal Siakam,TOR,12/28/2018,TOR @ ORL,L,29,4,1,8,12.5,0,2,0,2,3,66.7,1,3,4,2,0,0,2,4,-20
Pascal Siakam,TOR,12/26/2018,TOR @ MIA,W,34,10,4,7,57.1,0,1,0,2,3,66.7,0,9,9,2,1,1,6,5,0
Pascal Siakam,TOR,12/22/2018,TOR @ PHI,L,37,26,11,21,52.4,0,6,0,4,4,100,2,4,6,2,1,0,0,1,-21
Pascal Siakam,TOR,12/21/2018,TOR vs. CLE,W,37,15,6,17,35.3,2,5,40,1,3,33.3,5,5,10,3,1,1,1,1,17
Pascal Siakam,TOR,12/19/2018,TOR vs. IND,W,35,17,6,10,60,0,0,-,5,6,83.3,1,6,7,4,3,1,2,4,4
Pascal Siakam,TOR,12/14/2018,TOR @ POR,L,25,10,3,8,37.5,2,4,50,2,2,100,1,3,4,1,0,0,3,2,3
Pascal Siakam,TOR,12/12/2018,TOR @ GSW,W,35,13,5,10,50,1,2,50,2,2,100,0,3,3,3,2,1,5,2,15
Pascal Siakam,TOR,12/11/2018,TOR @ LAC,W,27,13,6,9,66.7,1,2,50,0,0,-,0,3,3,5,1,0,1,3,29
Pascal Siakam,TOR,12/09/2018,TOR vs. MIL,L,25,17,7,12,58.3,2,4,50,1,2,50,2,5,7,2,0,3,1,1,-5
